OBJECTID,DATALOAD_ZIPCODE_OAHU_AREA,ZIP,PO_NAME,STATE,SUMBLKPOP,POP1999,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE_Length,SHAPE_Area
1,,96734,Kailua,,,,{7F8C4EA1-AB21-449C-A73F-E4FC7ACBAE5B},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,179166.379107988,618148356.796609
2,,96817,Honolulu / Kapalama,,,,{329A87E1-0A84-4800-A379-49CB4DDFE526},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,99247.0780739815,261890580.189796
3,,96819,Honolulu / Tripler,,,,{63D2335C-244F-4606-B1BF-CB6DF5681AE5},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,229601.165694508,610074903.625514
4,,96792,Waianae,,,,{A7FC2E8E-3A0A-46B2-85B9-D308B47B8834},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,250825.64480445,1701695926.97601
5,,96825,Honolulu / Hawaii Kai,,,,{7AC6D065-31AD-4FE5-89BD-B4D945BC0F24},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,145618.54953412,316712789.318852
6,,96701,Aiea,,,,{9BAAC550-EBAE-409D-9DB0-63C00CD2FE18},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,127086.201447552,527167363.136746
7,,96782,Pearl City,,,,{8670210C-21CC-4204-9C8E-BF898C388A66},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,153328.127855374,490117722.525939
8,,96859,N/A,,,,{67EBD232-67AA-45B5-8998-7294B96D8636},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,9247.41102075856,3171310.50412757
9,,96797,Waipahu,,,,{1D58E062-6C44-4D19-ACCE-85FB424B9129},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,282776.055578237,959519464.63142
10,,96762,Laie,,,,{81A09C0C-C185-4F55-8844-A35C2615E926},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,119384.944000566,336080771.831551
11,,96853,N/A,,,,{DEDB462B-DD2E-428D-BF01-F039AC196180},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,9084.19003696882,2582349.48870558
12,,96826,Honolulu / Makiki,,,,{D8CABA3A-9AA3-445F-9D50-7CFCD6E3D0AA},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,29704.6190053018,30267471.4420491
13,,96815,Honolulu / Waikiki,,,,{E0488F7E-A4D7-4293-9E7E-EDCC3F6BCCCB},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,52855.6196162599,54975815.7996853
14,,96822,Honolulu / Makiki,,,,{549ADE7E-E5A4-4308-A493-E8462F4B2981},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,86156.3908531076,228612900.894075
15,,96814,Honolulu / Downtown,,,,{D1B428DB-D525-4010-9682-CAEA7D8925A4},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,39521.8690174547,35042049.4061694
16,,96730,Kaaawa,,,,{B99425F0-2B1B-4548-B678-B6029AD311D4},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,46365.1197922568,29482020.7860897
17,,96759,Kunia,,,,{EAA0B439-10C5-4C8F-940F-05AC83BBB7A4},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,53133.3501706189,166122394.682469
18,,96860,N/A,,,,{F2B21497-D8D4-4524-BFE2-D54C35BDD4D5},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,24294.2584599542,9324888.85506961
19,,96816,Honolulu / Waialae Kahala,,,,{C1985ECB-3618-4D5E-9BBD-B1890804FD5F},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,114255.451156265,275928737.680388
20,,96813,Honolulu / Downtown,,,,{965EC1FD-21B7-4E9E-84FE-955CB3874053},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,94675.9742526657,95926787.3005105
21,,96706,Ewa Beach,,,,{A38A65A6-AC3C-4CDB-82FB-A5FBCFFB1222},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,113508.433353556,476986412.092655
22,,96712,Haleiwa,,,,{327CDD3A-E844-4DB7-A45A-ADE6D49135CA},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,276311.135223468,579694880.868791
23,,96857,N/A,,,,{0179246B-0373-45BC-A004-E1B8FDED53DD},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,19595.3710609101,12966086.8856596
24,,96850,N/A,,,,{AC326C3C-3EE6-494D-AD4F-39218695CA20},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,3252.96132541819,601890.938820073
25,,96818,Honolulu / Halsey Ter,,,,{24677221-5561-4DE2-AF8E-C5226E6BA48E},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,196832.619430346,321097008.476557
26,,96791,Waialua,,,,{6E2815B9-73BD-4F9F-998E-4031C93F07AF},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,206763.24472819,1041630562.75955
27,,96863,N/A,,,,{D54EDE94-5756-4E0F-8156-CA7784AC4439},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,3684.90188338515,790300.346949245
28,,96821,Honolulu / Waialae Kahala,,,,{8FA0B3F4-B568-4BF9-A406-46C085EEE9FD},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,86330.0389458063,321581766.813146
29,,96795,Waimanalo,,,,{F0BBFEAB-5AAA-43EB-B013-613A97E67077},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,120931.762510022,308038770.906343
30,,96731,Kahuku,,,,{D63E642A-E06C-435D-9D6D-C51201303F9B},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,149030.227310853,539639462.592067
31,,96717,Hauula,,,,{AE7F9B2B-49B8-4FA5-8C2D-41D793EB62A5},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,163433.771761602,694450058.847635
32,,96707,Kapolei,,,,{48F10799-3E6F-49F0-BF15-E4034F2AB837},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,194995.897546159,1209488894.826
33,,96786,Wahiawa,,,,{ACE14347-5C88-453D-AF83-9C583ACC61A6},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,407398.704728954,2297286381.76219
34,,96744,Kaneohe,,,,{EB5DA2E2-36AE-4F32-8857-2052C009EA2A},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,278734.519079325,963772598.987782
35,,96789,Mililani,,,,{93C49CEB-AD39-413B-A3D9-908943167BED},mpc,2015/02/27 15:52:53+00,mpc,2015/02/27 15:52:53+00,196552.164911968,764809648.016555
